Hydrogen,Oxigen,Nitrogen,Methane,CO,CO2,Ethylene,Ethane,Acethylene,DBDS,Power factor,Interfacial V,Dielectric rigidity,Water content,Health index,Life expectation
1.2203620679970995,-0.176503261183643,-1.4489919907320072,14.988362664315652,-0.8944583905085349,-0.20955346192106322,12.493229024639732,15.736171611198403,-0.13126319535149591,0.042056145034709634,-0.13833756243289688,1.0637860923207958,0.2331444619802848,-0.9523642119006657,3.819758813022011,19.0
6.240832937586325,-0.5863510019612727,-1.6527632468093412,1.6311478360797271,-0.679282079584312,-0.4224715199271967,-0.12017779078928194,0.6518226390647481,-0.14213816482359234,0.5989764878220438,-0.13833756243289688,1.0637860923207958,0.2331444619802848,-0.9523642119006657,3.272434247660386,19.0
1.207862140525759,0.5684174471792155,0.6213123310990406,0.13155548363724998,0.0548488635689196,-0.3266583938244367,0.0325744979827001,-0.20730145969683544,3.26017371287515,-0.34350409227959866,-0.13833756243289688,0.09169381093886322,-0.23182539854616635,-0.30899259612561775,3.26114920507561,19.0
0.34736713339867414,-0.585714921660014,-0.7449226525254966,0.9519327460239256,-0.25314860108732123,-0.18382586324532207,-0.11866539189054945,0.4326583281561808,-0.14213816482359234,1.49861704155543,0.4449647369020043,-0.8803984704430694,-0.6967952590726175,-0.6599225683665529,3.26114920507561,6.0
1.4028610090786717,-0.33835036005944435,0.010216811266979244,0.16428874098933677,0.48942062876882103,0.13909985806398042,-0.12017779078928194,-0.11379135370918009,-0.13592389655382295,-0.34350409227959866,-0.1758122911611168,0.9017707120904738,0.2331444619802848,-0.776899225780198,3.2555066837832225,6.0
6.54783115628245,-0.5664204858551696,-0.8191271085051041,6.28131620866056,-0.5527077790406513,-0.3692420054256634,-0.11942159133991569,3.354849140270411,-0.14058459775614998,-0.34350409227959866,0.501991498010165,-0.232336949521781,-0.23182539854616635,-0.6014342396597304,2.713824639713985,6.0
4.897840730065495,0.25037729654991153,-1.0228256151157913,1.0092159463900776,-0.6624055061784905,-0.5346970796679296,-0.12320258858674693,0.23394935293241326,-0.14213816482359234,-0.34350409227959866,0.27388445357752206,1.0637860923207958,0.2331444619802848,-0.6599225683665529,2.713824639713985,6.0
-0.20062968694489633,0.5019117179031766,-0.46651044366867533,-0.1528146896090042,-0.7425692298561423,-0.4056155070017112,-0.11412819519435195,-0.2336011770058635,-0.12194179294684182,-0.25782403954308575,-0.20676967576268973,0.41572457139950747,2.7129837181213574,-0.6014342396597304,2.5784041286966763,19.0
-0.19412972465979925,-0.41609350799105194,0.8613855710330648,-0.14667720385548794,1.1644835650016776,0.37419688044575283,-0.11942159133991569,-0.21606803213317813,-0.13903103068870765,3.1479580567333043,-0.25402042068088004,0.9017707120904738,0.3881344154891018,-0.7184108970733755,2.5558340435271245,6.0
0.041868905999110695,0.24762094857779093,0.04317231965792256,-0.1364480609329608,-0.6708437928814012,0.0623606413242698,-0.10127280455512574,-0.17223516995146468,-0.14213816482359234,3.1479580567333043,-0.2572790927442035,-0.232336949521781,2.8679736716301747,-0.3674809248324403,2.2849930214925065,6.0
